Date,Time,Open,High,Low,Close,Volume
2019.06.20,0:00,7664.61,7790.87,7662.37,7733.87,107164
2019.06.21,0:00,7731.61,7772.61,7695.61,7719.87,99697
2019.06.24,0:00,7705.49,7762.99,7702.37,7725.74,81142
2019.06.25,0:00,7725.11,7748.99,7579.99,7604.37,106598
2019.06.26,0:00,7604.11,7689.37,7586.61,7612.61,104375
2019.06.27,0:00,7612.49,7684.74,7612.37,7657.37,90198
2019.06.28,0:00,7656.11,7698.37,7636.87,7698.11,73973
2019.07.01,0:00,7754.99,7822.74,7731.74,7763.99,93973
2019.07.02,0:00,7764.61,7816.49,7735.11,7813.61,78689
2019.07.03,0:00,7813.11,7866.11,7797.61,7862.24,54719
2019.07.04,0:00,7872.49,7880.11,7854.24,7875.11,22587
2019.07.05,0:00,7875.24,7881.87,7772.49,7825.87,76851
2019.07.08,0:00,7828.11,7838.11,7752.61,7777.49,74577
2019.07.09,0:00,7775.74,7835.37,7718.74,7823.24,70396
2019.07.10,0:00,7821.87,7925.87,7787.99,7899.37,88311
2019.07.11,0:00,7898.37,7937.87,7870.87,7894.24,81040
2019.07.12,0:00,7892.61,7943.99,7888.37,7935.37,63945
2019.07.15,0:00,7935.87,7969.87,7918.11,7960.49,58215
2019.07.16,0:00,7961.11,7978.24,7901.11,7914.24,66539
2019.07.17,0:00,7917.24,7943.74,7845.74,7847.24,66084
2019.07.18,0:00,7848.99,7934.49,7811.11,7926.87,83762
2019.07.19,0:00,7933.99,7961.37,7822.87,7825.49,94711
2019.07.22,0:00,7812.24,7918.11,7808.61,7908.49,80449
2019.07.23,0:00,7911.37,7968.61,7891.61,7924.37,74606
2019.07.24,0:00,7929.24,8034.37,7909.37,7984.37,74892
2019.07.25,0:00,7988.49,8017.61,7902.61,7967.24,95350
2019.07.26,0:00,7980.11,8025.99,7973.24,8003.87,65190
2019.07.29,0:00,8003.74,8016.87,7937.37,7990.74,61306
2019.07.30,0:00,7989.11,8005.87,7914.87,7974.61,81263
2019.07.31,0:00,7980.74,7987.74,7769.49,7825.99,104458
2019.08.01,0:00,7817.61,8002.37,7765.24,7778.87,127541
2019.08.02,0:00,7784.11,7793.87,7641.61,7692.87,171039
2019.08.05,0:00,7686.37,7697.11,7351.87,7359.87,196596
2019.08.06,0:00,7336.61,7541.87,7216.49,7510.11,219344
2019.08.07,0:00,7507.87,7570.61,7381.24,7543.61,202349
2019.08.08,0:00,7543.24,7731.99,7519.24,7722.49,130252
2019.08.09,0:00,7686.11,7715.37,7588.24,7649.11,149030
2019.08.12,0:00,7648.49,7700.87,7527.19,7562.87,146236
2019.08.13,0:00,7562.61,7779.37,7506.31,7742.49,153604
2019.08.14,0:00,7735.24,7753.37,7465.87,7466.24,184794
2019.08.15,0:00,7460.11,7560.61,7377.74,7499.61,205677
2019.08.16,0:00,7498.49,7622.87,7493.61,7602.49,123695
2019.08.19,0:00,7609.87,7740.37,7609.11,7710.11,102728
2019.08.20,0:00,7708.74,7742.11,7644.99,7647.87,114881
2019.08.21,0:00,7643.87,7755.61,7641.99,7747.11,96219
2019.08.22,0:00,7745.37,7771.37,7646.24,7697.99,124100
2019.08.23,0:00,7699.11,7753.99,7440.87,7498.99,175073
2019.08.26,0:00,7427.99,7618.87,7349.87,7580.99,172642
2019.08.27,0:00,7584.24,7641.87,7530.37,7557.99,142569
2019.08.28,0:00,7555.87,7598.24,7497.11,7573.87,133266
2019.08.29,0:00,7573.11,7723.11,7540.61,7699.11,116723
2019.08.30,0:00,7696.74,7763.24,7639.61,7668.61,118339
2019.09.02,0:00,7618.11,7689.24,7575.87,7606.99,58587
2019.09.03,0:00,7612.37,7670.61,7581.49,7610.49,134049
2019.09.04,0:00,7607.74,7724.37,7602.87,7716.87,102432
2019.09.05,0:00,7716.74,7881.11,7711.11,7844.11,110649
2019.09.06,0:00,7847.24,7889.74,7833.74,7852.11,98412
2019.09.09,0:00,7851.49,7881.87,7793.74,7827.61,90522
2019.09.10,0:00,7829.11,7852.61,7739.87,7814.49,117177
2019.09.11,0:00,7812.87,7893.24,7782.49,7887.11,103457
2019.09.12,0:00,7887.74,7975.87,7880.61,7906.61,120470
2019.09.13,0:00,7911.61,7953.61,7877.37,7882.37,85040
2019.09.16,0:00,7838.49,7872.11,7772.24,7864.37,96443
2019.09.17,0:00,7865.61,7895.37,7825.99,7890.87,84630
2019.09.18,0:00,7890.11,7902.61,7787.99,7896.49,87522
2019.09.19,0:00,7899.11,7949.11,7827.49,7892.87,100582
2019.09.20,0:00,7891.61,7927.74,7789.87,7808.49,97798
2019.09.23,0:00,7816.87,7874.61,7787.11,7846.49,97250
2019.09.24,0:00,7846.61,7880.74,7681.24,7716.49,124982
2019.09.25,0:00,7715.49,7823.87,7643.74,7802.24,122817
2019.09.26,0:00,7801.49,7822.61,7716.37,7766.74,112541
2019.09.27,0:00,7765.61,7803.37,7621.87,7680.11,128229
2019.09.30,0:00,7719.24,7769.37,7686.37,7765.74,102923
2019.10.01,0:00,7764.37,7823.11,7670.99,7689.24,120217
2019.10.02,0:00,7690.24,7709.99,7511.11,7540.49,146737
2019.10.03,0:00,7540.24,7645.49,7459.61,7644.61,140958
2019.10.04,0:00,7640.37,7758.87,7610.49,7749.11,116891
2019.10.07,0:00,7697.61,7785.49,7674.49,7724.87,109252
2019.10.08,0:00,7722.49,7770.87,7600.34,7609.59,147054
2019.10.09,0:00,7610.59,7719.87,7593.21,7691.87,120358
2019.10.10,0:00,7689.87,7785.87,7571.61,7775.11,148912
2019.10.11,0:00,7774.99,7905.87,7755.24,7844.11,124786
2019.10.14,0:00,7840.11,7881.49,7794.87,7847.87,96656
2019.10.15,0:00,7848.61,7960.61,7848.61,7947.74,83212
2019.10.16,0:00,7947.99,7949.24,7897.11,7941.49,100329
2019.10.17,0:00,7943.11,7984.49,7912.11,7941.99,98511
2019.10.18,0:00,7941.11,7947.11,7825.37,7869.24,102397
2019.10.21,0:00,7863.74,7940.99,7857.49,7937.87,82814
2019.10.22,0:00,7939.49,7979.49,7827.87,7832.11,90677
2019.10.23,0:00,7839.99,7909.24,7801.37,7908.37,100261
2019.10.24,0:00,7914.99,7976.37,7904.61,7916.99,82473
2019.10.25,0:00,7920.61,8033.87,7910.87,8027.61,78505
2019.10.28,0:00,8040.87,8119.11,8040.87,8102.74,69113
2019.10.29,0:00,8101.49,8110.61,8042.87,8048.11,71315
2019.10.30,0:00,8049.87,8132.37,8013.61,8109.37,77000
2019.10.31,0:00,8122.11,8130.74,8040.37,8085.37,100379
2019.11.01,0:00,8086.49,8160.37,8078.87,8153.87,65541
2019.11.04,0:00,8159.11,8227.87,8158.24,8213.24,66171
2019.11.05,0:00,8214.74,8243.24,8188.87,8205.37,69839
2019.11.06,0:00,8203.87,8223.11,8154.87,8205.74,71073
2019.11.07,0:00,8205.11,8273.61,8180.11,8223.87,80917
2019.11.08,0:00,8225.74,8256.61,8183.11,8250.49,73086
2019.11.11,0:00,8248.99,8253.37,8199.61,8246.37,64006
2019.11.12,0:00,8245.99,8293.11,8221.49,8263.37,74765
2019.11.13,0:00,8264.37,8274.61,8213.11,8262.87,82645
2019.11.14,0:00,8259.99,8276.74,8209.37,8261.49,86065
2019.11.15,0:00,8258.87,8315.87,8253.61,8311.24,66347
2019.11.18,0:00,8314.37,8360.37,8272.87,8328.24,69807
2019.11.19,0:00,8328.61,8373.87,8306.61,8328.11,70187
2019.11.20,0:00,8323.37,8339.24,8222.61,8279.24,105706
2019.11.21,0:00,8245.61,8299.24,8231.61,8269.74,116529
2019.11.22,0:00,8273.74,8305.74,8227.37,8274.61,79979
2019.11.25,0:00,8296.74,8371.87,8290.37,8368.11,52101
2019.11.26,0:00,8367.37,8413.37,8359.87,8395.87,71747
2019.11.27,0:00,8396.49,8452.87,8390.74,8451.37,54668
2019.11.28,0:00,8451.61,8452.11,8408.87,8439.49,29920
2019.11.29,0:00,8437.99,8445.74,8402.11,8417.37,47915
2019.12.02,0:00,8420.11,8452.74,8272.61,8305.87,97986
2019.12.03,0:00,8307.87,8332.61,8164.24,8251.87,122710
2019.12.04,0:00,8250.99,8316.24,8217.87,8293.37,99518
2019.12.05,0:00,8291.37,8335.37,8268.87,8305.99,90025
2019.12.06,0:00,8306.37,8405.37,8303.37,8395.87,64710
